epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,274.626,1.84306,4.97728,0.00598,0.63419,0.24971,0.23295,0.11781,1.67093,2.43264,0.00988,0.000276924,0.000276924,0.000276924
2,613.183,1.76988,3.30504,0.00552,0.38146,0.33288,0.31084,0.15953,1.63831,2.00069,0.00963,0.000499686,0.000499686,0.000499686
3,1155.98,1.69491,2.59378,0.00529,0.4081,0.40124,0.35897,0.18537,1.57855,1.82124,0.0094,0.000667471,0.000667471,0.000667471
4,1520.55,1.62246,2.11742,0.00507,0.44959,0.38519,0.38654,0.21064,1.53407,1.56551,0.00878,0.000585599,0.000585599,0.000585599
5,1846.09,1.59927,1.82573,0.00486,0.42204,0.4294,0.40616,0.20924,1.49494,1.51324,0.00861,0.000503132,0.000503132,0.000503132
6,2188.9,1.57131,1.63355,0.00475,0.47998,0.44436,0.43511,0.23256,1.46996,1.40004,0.0083,0.000420665,0.000420665,0.000420665
7,2539.13,1.537,1.52619,0.00457,0.51092,0.44955,0.45714,0.25196,1.45665,1.31688,0.00854,0.000338198,0.000338198,0.000338198
8,2914.31,1.48011,1.41188,0.00451,0.53071,0.46101,0.46767,0.26153,1.42945,1.29282,0.00817,0.000255731,0.000255731,0.000255731
9,3264.76,1.46752,1.37987,0.00443,0.53351,0.48657,0.48768,0.27124,1.41199,1.25473,0.00801,0.000173264,0.000173264,0.000173264
10,3582.33,1.46875,1.36515,0.00431,0.52902,0.48762,0.48502,0.27341,1.39301,1.2444,0.00784,9.0797e-05,9.0797e-05,9.0797e-05
